x,y,z,a,h,g
0.0410898,0,0,0,1.0279,1.0357
0.0394844,0,0.0009869,0.0002332,1.0279,1.0357
0.0364767,0,0.0019244,0.0006996,1.0279,1.0357
0.0315116,0,0.0026381,0.0012174,1.0279,1.0357
0.028523,0,0.0026165,0.001455,1.0279,1.0357
0.0252043,0,0.0026375,0.0015557,1.0279,1.0357
0.0221774,0,0.0024691,0.0017105,1.0279,1.0357
0.018968,0,0.0024145,0.001663,1.0279,1.0357
0.0162722,0,0.0022034,0.0017714,1.0279,1.0357
0.0137607,0,0.001989,0.00204,1.0279,1.0357
0.0112867,0,0.001811,0.0018838,1.0279,1.0357
0.009074,0,0.0018127,0.0017703,1.0279,1.0357
0.0071265,0,0.0022155,0.0014823,1.0279,1.0357
0.0031881,0,0.002653,0.0011851,1.0279,1.0357
0,0,0.003815,0.0005946,1.0279,1.0357
